P_Sys_Opco	P_SyscoID	P_SyscoProdID
067	000349	1008770
067	000349	1008846
067	000349	1008861
067	000349	1008978
067	000349	1008986
067	000349	1008994
067	000349	1009018
067	000349	1009141
067	000349	1009588
067	000349	1009703
067	000349	1009711
067	000349	1009729
067	000349	1009943
067	000349	1009968
067	000349	1009984
067	000349	1010024
067	000349	1010206
067	000349	1010313
067	000349	1010370
067	000349	1010412
067	000349	1010420
067	000349	1010438
067	000349	1010693
067	000349	1011485
067	000349	1011576
067	000349	1011600
067	000349	1011659
067	000349	1011667
067	000349	1011683
067	000349	1011790
067	000349	1011865
067	000349	1012236
067	000349	1012285
067	000349	1012327
067	000349	1012335
067	000349	1012350
067	000349	1012491
067	000349	1012509
067	000349	1012608
067	000349	1012699
067	000349	1012749
067	000349	1012806
067	000349	1013242
067	000349	1013267
067	000349	1013556
067	000349	1013689
067	000349	1013820
067	000349	1013978
067	000349	1013986
067	000349	1014430
067	000349	1014521
067	000349	1014547
067	000349	1014620
067	000349	1014653
067	000349	1014711
067	000349	1014778
067	000349	1014786
067	000349	1014794
067	000349	1014844
067	000349	1014877
067	000349	1014885
067	000349	1015569
067	000349	1015593
067	000349	1015916
067	000349	1016542
067	000349	1016633
067	000349	1016849
067	000349	1016864
067	000349	1017086
067	000349	1017094
067	000349	1017102
067	000349	1017144
067	000349	1017219
067	000349	1017250
067	000349	1017342
067	000349	1017391
067	000349	1017508
067	000349	1017532
067	000349	1017649
067	000349	1017730
067	000349	1017748
067	000349	1017987
067	000349	1018001
067	000349	1018712
067	000349	1019165
067	000349	1019850
067	000349	1019876
067	000349	1019918
067	000349	1020304
067	000349	1020320
067	000349	1020346
067	000349	1020361
067	000349	1020544
067	000349	1020577
067	000349	1020585
067	000349	1020718
067	000349	1020734
067	000349	1020783
067	000349	1020825
067	000349	1020841
067	000349	1020874
067	000349	1020965
067	000349	1020981
067	000349	1021013
067	000349	1021088
067	000349	1021518
067	000349	1021815
067	000349	1021831
067	000349	1021856
067	000349	1021872
067	000349	1021989
067	000349	1022128
067	000349	1024009
067	000349	1024017
067	000349	1024025
067	000349	1024173
067	000349	1024231
067	000349	1024306
067	000349	1024348
067	000349	1024355
067	000349	1024363
067	000349	1024454
067	000349	1024827
067	000349	1025139
067	000349	1025162
067	000349	1025196
067	000349	1025295
067	000349	1025311
067	000349	1025337
067	000349	1025352
067	000349	1025873
067	000349	1025881
067	000349	1025923
067	000349	1026483
067	000349	1026731
067	000349	1026756
067	000349	1026772
067	000349	1026996
067	000349	1027218
067	000349	1027267
067	000349	1027614
067	000349	1027622
067	000349	1027630
067	000349	1027648
067	000349	1027671
067	000349	1027689
067	000349	1027721
067	000349	1027739
067	000349	1027762
067	000349	1027820
067	000349	1028091
067	000349	1028109
067	000349	1028299
067	000349	1028315
067	000349	1028323
067	000349	1028349
067	000349	1028521
067	000349	1028901
067	000349	1028919
067	000349	1028927
067	000349	1029719
067	000349	1029735
067	000349	1030006
067	000349	1030188
067	000349	1031251
067	000349	1031269
067	000349	1031293
067	000349	1031327
067	000349	1031749
067	000349	1031913
067	000349	1031970
067	000349	1032143
067	000349	1032820
067	000349	1033224
067	000349	1033976
067	000349	1034222
067	000349	1034578
067	000349	1034594
067	000349	1034842
067	000349	1035690
067	000349	1035716
067	000349	1037175
067	000349	1037290
067	000349	1037316
067	000349	1037498
067	000349	1037514
067	000349	1038421
067	000349	1038660
067	000349	1038678
067	000349	1039296
067	000349	1039411
067	000349	1039494
067	000349	1039601
067	000349	1039619
067	000349	1041045
067	000349	1041086
067	000349	1041680
067	000349	1041698
067	000349	1041813
067	000349	1041847
067	000349	1042225
067	000349	1042936
067	000349	1042985
067	000349	1043108
067	000349	1043165
067	000349	1043256
067	000349	1043793
067	000349	1043801
067	000349	1044049
067	000349	1044106
067	000349	1044213
067	000349	1044502
067	000349	1044775
067	000349	1045061
067	000349	1045228
067	000349	1045541
067	000349	1046218
067	000349	1046457
067	000349	1046465
067	000349	1046515
067	000349	1046770
067	000349	1046820
067	000349	1048115
067	000349	1048172
067	000349	1048313
067	000349	1048461
067	000349	1048909
067	000349	1048925
067	000349	1049014
067	000349	1049774
067	000349	1049865
067	000349	1050053
067	000349	1050194
067	000349	1050772
067	000349	1051366
067	000349	1051374
067	000349	1051390
067	000349	1051408
067	000349	1051697
067	000349	1052059
067	000349	1052984
067	000349	1053248
067	000349	1053735
067	000349	1053826
067	000349	1054105
067	000349	1054618
067	000349	1054907
067	000349	1055045
067	000349	1055417
067	000349	1055508
