P_SyscoID	P_Sys_Opco	P_SyscoProdID0	P_SyscoProdID1	P_SyscoProdID2	P_SyscoProdID3	P_SyscoProdID4	P_SyscoProdID5	P_SyscoProdID6	P_SyscoProdID7	P_SyscoProdID8	P_SyscoProdID9	P_SyscoProdID10	P_SyscoProdID11	P_SyscoProdID12	P_SyscoProdID13	P_SyscoProdID14	P_SyscoProdID15	P_SyscoProdID16	P_SyscoProdID17	P_SyscoProdID18	P_SyscoProdID19	P_SyscoProdID20	P_SyscoProdID21	P_SyscoProdID22	P_SyscoProdID23	P_SyscoProdID24	P_SyscoProdID25	P_SyscoProdID26	P_SyscoProdID27	P_SyscoProdID28	P_SyscoProdID29
277202	067	7392533	7392624	7393960	7394075	7394083	7395056	7395106	7395148	7395155	7395387	7395395	7395460	7395973	7396104	7396518	7396823	7398019	7398480	7398555	7398639	7398688	7398696	7399959	7399991	7400823	7404619	7407125	7408487	7409311	7409345
277889	067	7409451	7409550	7409592	7409659	7409733	7409808	7410467	7410566	7410640	7410665	7413461	7413917	7416407	7418973	7420060	7421274	7422801	7423155	7425796	7425903	7426471	7428766	7429111	7430820	7432065	7432172	7432180	7432214	7432222	7432255
277939	067	7432289	7432347	7432354	7432420	7432610	7432768	7432834	7433204	7433279	7433907	7435191	7435266	7435282	7435290	7435332	7439631	7440407	7440837	7441306	7442858	7445539	7445810	7445976	7446289	7447162	7447253	7447840	7448988	7449051	7449234
278051	067	7451305	7452543	7454028	7454101	7455447	7455462	7455496	7458110	7459068	7459506	7459969	7461973	7462237	7465206	7468507	7468515	7468531	7468549	7468556	7470057	7472723	7473820	7474893	7475395	7476641	7477086	7477185	7477409	7478662	7479728
278275	067	7481591	7481724	7483142	7483654	7484272	7484397	7484454	7484975	7485998	7487374	7488190	7488638	7491319	7491459	7491467	7491715	7492226	7492358	7492853	7493265	7493349	7493935	7494636	7496235	7496284	7496326	7497134	7497464	7498173	7498637
278697	067	7498645	7498660	7498694	7499569	7499585	7500127	7501141	7501430	7501521	7501869	7505647	7506447	7508484	7510175	7513641	7514425	7515521	7517238	7517246	7517469	7518467	7518590	7518723	7518848	7518962	7519093	7519168	7519440	7521883	7524051
278705	067	7524424	7531940	7534266	7535321	7539018	7539034	7539042	7539141	7544877	7545908	7545973	7550387	7551831	7552052	7552631	7553498	7555196	7556889	7556962	7557176	7557804	7557945	7557986	7558299	7559313	7560766	7563133	7564032	7564461	7568587
278713	067	7573025	7573280	7573777	7574452	7574676	7574924	7576051	7576093	7577711	7580780	7581648	7581929	7590227	7591886	7592041	7592116	7592231	7592330	7592405	7593353	7593510	7593544	7593833	7596257	7596828	7598105	7599889	7602733	7604093	7608557
278895	067	7608565	7608847	7609803	7611254	7611619	7611718	7611734	7611742	7611759	7613219	7614209	7614233	7614258	7618283	7621477	7623978	7624299	7625668	7625734	7625957	7626013	7626518	7628787	7632946	7633373	7634538	7634835	7635576	7636665	7640089
278911	067	7640766	7641491	7642572	7642713	7642770	7644495	7644909	7648173	7652761	7652787	7656648	7657505	7657596	7657612	7657638	7657646	7658479	7660830	7660939	7661077	7662240	7662265	7662927	7663073	7663354	7663362	7663404	7664774	7667363	7667371
279109	067	7669831	7672306	7673833	7677263	7680341	7680440	7680580	7681182	7682032	7682875	7685118	7688500	7689300	7689334	7690258	7690266	7690274	7690290	7690761	7691264	7692015	7692098	7692460	7694102	7694276	7694474	7694680	7694763	7697089	7697196
279265	067	7699739	7700222	7700347	7700396	7700404	7701261	7701766	7702160	7702624	7702863	7704026	7704133	7704893	7705346	7705957	7705999	7706260	7706401	7706419	7706674	7706716	7706724	7706781	7707193	7708795	7710965	7711492	7711559	7711633	7713274
279273	067	7713381	7715436	7715477	7715550	7715568	7715584	7715600	7715634	7716160	7716178	7716186	7716202	7719115	7719529	7719552	7719578	7723547	7724867	7726441	7729288	7729304	7732167	7732183	7732639	7732936	7733900	7734064	7734452	7737638	7738776
279703	067	7740095	7741291	7741549	7746183	7746852	7750300	7750318	7750326	7750623	7751373	7751571	7756604	7757628	7757636	7758865	7758873	7758881	7762099	7762685	7764335	7764541	7764707	7765696	7766306	7767486	7768567	7770779	7771215	7775273	7776123
279745	067	7777972	7781479	7781693	7784127	7787559	7787666	7787674	7789076	7794415	7794837	7799059	7800311	7801178	7802291	7804701	7806326	7806862	7808157	7808710	7809403	7809429	7810930	7811094	7811292	7811615	7812183	7815517	7817661	7817729	7817885
279794	067	7818545	7818735	7819220	7819311	7819477	7819527	7819543	7820046	7821747	7823537	7823552	7823958	7824154	7825904	7830409	7830532	7830557	7830565	7831068	7832660	7832785	7834088	7834401	7836422	7837784	7840044	7842370	7842826	7844590	7845910
